select,grp,X,Y,a,b,a.ci.2.5,a.ci.97.5,b.ci.2.5,b.ci.97.5,n,R2,pval,model,base,minX,maxX
yes,Crustaceans,dryWeight,excretionRateP_15C,-1.455130326,0.711175714,-1.540088961,-1.370171692,0.639914314,0.782437113,56,0.881144497,1.21812E-26,OLS,10,0.008904762,704.5
yes,Crustaceans,carbonWeight,clearanceRate_15C,1.79349495,0.706175503,1.553164432,2.033825468,0.592295885,0.820055122,31,0.847246749,2.3354E-13,OLS,10,0.000131385,50.7239049
yes,Crustaceans,carbonWeight,ingestionRate_15C,0.975368335,0.761941827,0.775250029,1.175486642,0.669062053,0.854821601,33,0.900300143,4.50695E-17,OLS,10,0.000131385,50.7239049
yes,Crustaceans,carbonWeight,eggWeight,0.519167585,0.874848738,0.305804087,0.732531083,0.780632776,0.969064701,119,0.742956964,2.60331E-36,OLS,10,0.00000336,23.6
,Copepods,bodyLengthMax,dryWeight,-2.011892927,2.74490801,-2.123069992,-1.900715861,2.537157675,2.952658345,149,0.822632298,4.48324E-57,OLS,10,0.485,11.22
,Copepods,bodyLengthMax,wetWeight,-1.331988208,2.676795576,-1.608748017,-1.055228399,2.243997417,3.109593734,23,0.887359655,2.00462E-11,OLS,10,1.64625,9.15
,Copepods,bodyLengthMax,carbonWeight,-2.594948021,2.88589958,-2.688031947,-2.501864095,2.665117615,3.106681545,144,0.82462113,1.54401E-55,OLS,10,0.385,9.15
,Copepods,dryWeight,wetWeight,0.701995575,0.973964974,0.61218464,0.791806509,0.844384234,1.103545713,23,0.920852333,4.84795E-13,OLS,10,0.03,3.776421053
,Copepods,dryWeight,carbonWeight,-0.404232587,0.994036028,-0.47723341,-0.331231763,0.937253828,1.050818229,94,0.929277561,1.03294E-54,OLS,10,0.000875,3.776421053
,Copepods,carbonWeight,bodyLengthMax,0.795143432,0.28574145,0.752638456,0.837648408,0.263881175,0.307601725,144,0.82462113,1.54401E-55,OLS,10,0.000131385,4.63
,Copepods,carbonWeight,wetWeight,1.016949165,0.931757985,0.891086,1.142812329,0.801314258,1.062201713,23,0.913101349,1.29795E-12,OLS,10,0.0133,1.89
,Copepods,dryWeight,ashTotal,-1.339481965,1.051401604,-1.493072455,-1.185891475,0.815703291,1.287099917,22,0.812354597,1.04725E-08,OLS,10,0.03,3.776421053
,Copepods,dryWeight,nitrogenTotal,-1.054415084,0.956336159,-1.091793522,-1.017036646,0.923437535,0.989234783,102,0.970812375,1.46925E-78,OLS,10,0.000875,8.557
,Copepods,dryWeight,phosphorusTotal,-2.306712875,0.91219084,-2.406660972,-2.206764779,0.833426318,0.990955362,45,0.92693204,4.66154E-26,OLS,10,0.005133333,3.776421053
,Copepods,carbonWeight,energyContent,1.771331884,0.982966412,1.67365059,1.869013178,0.881730183,1.084202641,23,0.951017927,3.09735E-15,OLS,10,0.0133,1.89
,Copepods,carbonWeight,respirationRate_15C,0.51428293,0.86126482,0.321492319,0.707073541,0.742362633,0.980167006,90,0.701909746,7.49204E-25,OLS,10,0.000131385,4.63
,Copepods,dryWeight,excretionRateN_15C,-0.828953073,0.800129742,-0.908685467,-0.749220678,0.72552159,0.874737895,61,0.886431762,1.47918E-29,OLS,10,0.00748125,3.776421053
,Copepods,dryWeight,excretionRateP_15C,-1.362104988,0.799022729,-1.505440348,-1.218769628,0.651747192,0.946298267,40,0.760445429,2.36583E-13,OLS,10,0.008904762,3.776421053
,Copepods,carbonWeight,clearanceRate_15C,2.064995051,0.816599912,1.574217733,2.555772368,0.60686626,1.026333563,24,0.747706062,5.05805E-08,OLS,10,0.000131385,1.6155
,Copepods,carbonWeight,ingestionRate_15C,1.166100047,0.835329991,0.818577379,1.513622715,0.686599637,0.984060345,27,0.842569472,1.57209E-11,OLS,10,0.000131385,1.6155
,Copepods,carbonWeight,eggWeight,0.188451314,0.692907845,-0.014872249,0.391774876,0.595128255,0.790687436,100,0.668652317,3.05074E-25,OLS,10,0.000131385,1.89
yes,Gelatinous,bodyLengthMax,dryWeight,-2.371918619,2.389378991,-3.285149224,-1.458688015,1.799918434,2.978839549,39,0.645784601,7.33485E-10,OLS,10,1,402.5
yes,Gelatinous,bodyLengthMax,wetWeight,0.43735807,1.775891736,-0.485995627,1.360711766,1.233871653,2.31791182,41,0.529666537,6.99152E-08,OLS,10,1.4,402.5
yes,Gelatinous,bodyLengthMax,carbonWeight,-2.139572552,1.426315692,-2.768638628,-1.510506476,1.043116054,1.809515329,74,0.433316834,1.84605E-10,OLS,10,1,700
yes,Gelatinous,dryWeight,wetWeight,1.214287483,0.995954534,0.624651491,1.803923475,0.742650643,1.249258425,29,0.706791379,1.14409E-08,OLS,10,0.08,15954.58631
yes,Gelatinous,dryWeight,carbonWeight,-0.505064632,0.609665399,-0.697261053,-0.312868212,0.506267945,0.713062853,54,0.72915632,2.28132E-16,OLS,10,0.003784842,15954.58631
,Gelatinous,carbonWeight,bodyLengthMax,1.523831144,0.303801491,1.424117783,1.623544505,0.222180976,0.385422006,74,0.433316834,1.84605E-10,OLS,10,0.000137,154.411
,Gelatinous,carbonWeight,wetWeight,3.004115267,0.655163535,2.476872298,3.531358236,0.164132933,1.146194137,37,0.173300628,0.010382649,OLS,10,0.0136,154.411
,Gelatinous,dryWeight,ashTotal,-0.78869961,1.388704581,-1.383911353,-0.193487867,1.125861492,1.65154767,11,0.940729946,7.96796E-07,OLS,10,0.08,10970
yes,Gelatinous,dryWeight,nitrogenTotal,-1.124967619,0.815752999,-1.358291166,-0.891644072,0.68473396,0.946772038,56,0.742637337,1.51504E-17,OLS,10,0.003784842,15954.58631
yes,Gelatinous,dryWeight,phosphorusTotal,-2.457999944,0.795347782,-2.736973717,-2.17902617,0.624543874,0.96615169,38,0.712426971,2.80135E-11,OLS,10,0.133,15954.58631
,Gelatinous,carbonWeight,energyContent,1.727941197,0.880237461,1.349469504,2.106412891,0.494107466,1.266367456,9,0.805865144,0.001018823,OLS,10,0.0136,14.69875629
,Gelatinous,carbonWeight,respirationRate_15C,0.844346168,0.850813284,0.616458712,1.072233624,0.622867625,1.078758944,43,0.580868403,2.89752E-09,OLS,10,0.011252436,154.411
yes,Gelatinous,dryWeight,excretionRateN_15C,-0.989325985,0.642786111,-1.179329563,-0.799322407,0.512989701,0.772582522,37,0.742789831,7.36945E-12,OLS,10,0.003784842,15954.58631
yes,Gelatinous,dryWeight,excretionRateP_15C,-1.586741093,0.655750213,-1.917260796,-1.256221391,0.470168772,0.841331654,18,0.778116944,1.288E-06,OLS,10,0.003784842,15954.58631
yes,Gelatinous,carbonWeight,clearanceRate_15C,2.634027693,1.061160098,2.200034454,3.068020933,0.715401756,1.40691844,23,0.65984372,2.50775E-06,OLS,10,0.008407,154.411
,Gelatinous,carbonWeight,ingestionRate_15C,0.505534419,0.659824002,-0.873734814,1.884803652,-0.581727718,1.901375721,6,0.352460811,0.21409904,OLS,10,0.011252436,1.25488913
,Gelatinous,carbonWeight,eggWeight,-1.576381313,0.159934135,-1.907885491,-1.244877134,-0.080620415,0.400488684,48,0.037475849,0.187381119,OLS,10,0.000137,138.0851027
