scientificName,verbatimScientificName,acceptedNameUsage,taxonID,aphiaID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,majorgroup,acceptedNameUsageID
Abyssorchomene,Abyssorchomene,"Abyssorchomene De Broyer, 1984",1,101585,"De Broyer, 1984",180,Genus,176808,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,Amphipod,urn:lsid:marinespecies.org:taxname:101585
Acanthoscina,Acanthoscina,"Acanthoscina Vosseler, 1900",2,101809,"Vosseler, 1900",180,Genus,101424,Animalia,Arthropoda,Malacostraca,Amphipoda,Scinidae,Acanthoscina,,Amphipod,urn:lsid:marinespecies.org:taxname:101809
Ameroculodes edwardsi,Monoculodes edwardsi,"Ameroculodes edwardsi (Holmes, 1905)",3,547000,"(Holmes, 1905)",220,Species,101694,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Ameroculodes,Ameroculodes edwardsi,Amphipod,urn:lsid:marinespecies.org:taxname:547000
Amphipoda,Amphipoda,"Amphipoda Latreille, 1816",4,1135,"Latreille, 1816",100,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:1135
Amphithyridae,Amphithyridae,"Amphithyridae Zeidler, 2016",5,952000,"Zeidler, 2016",140,Family,155698,Animalia,Arthropoda,Malacostraca,Amphipoda,Amphithyridae,,,Amphipod,urn:lsid:marinespecies.org:taxname:952000
Anchylomera,Anchylomera,"Anchylomera H. Milne Edwards, 1830",6,236612,"H. Milne Edwards, 1830",180,Genus,101421,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Anchylomera,,Amphipod,urn:lsid:marinespecies.org:taxname:236612
Anchylomera blossevillei,Anchylomera blossevillei,"Anchylomera blossevillei H. Milne Edwards, 1830",7,236613,"H. Milne Edwards, 1830",220,Species,236612,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Anchylomera,Anchylomera blossevillei,Amphipod,urn:lsid:marinespecies.org:taxname:236613
Anonyx,Anonyx,"Anonyx Krøyer, 1838",8,101592,"Krøyer, 1838",180,Genus,176808,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx,,Amphipod,urn:lsid:marinespecies.org:taxname:101592
Aristioidea,Aristioidea,"Aristioidea Lowry & Stoddart, 1997",9,1055699,"Lowry & Stoddart, 1997",130,Superfamily,1055696,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:1055699
Atylidae,Atylidae,"Atylidae Lilljeborg, 1865",10,146525,"Lilljeborg, 1865",140,Family,1055692,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:146525
Atylinae,Atylinae,"Atylinae Lilljeborg, 1865",11,488891,"Lilljeborg, 1865",150,Subfamily,146525,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:488891
Atylus,Atylus,"Atylus Leach, 1815",12,101497,"Leach, 1815",180,Genus,488891,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Atylus,,Amphipod,urn:lsid:marinespecies.org:taxname:101497
Atylus tridens,Atylus tridens,"Atylus tridens (Alderman, 1936)",13,488910,"(Alderman, 1936)",220,Species,101497,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Atylus,Atylus tridens,Amphipod,urn:lsid:marinespecies.org:taxname:488910
Batea,Batea,"Batea Müller, 1865",14,158031,"Müller, 1865",180,Genus,158030,Animalia,Arthropoda,Malacostraca,Amphipoda,Bateidae,Batea,,Amphipod,urn:lsid:marinespecies.org:taxname:158031
Batea catharinensis,Batea catharinensis,"Batea catharinensis Müller, 1865",15,158032,"Müller, 1865",220,Species,158031,Animalia,Arthropoda,Malacostraca,Amphipoda,Bateidae,Batea,Batea catharinensis,Amphipod,urn:lsid:marinespecies.org:taxname:158032
Bateidae,Bateidae,"Bateidae Stebbing, 1906",16,158030,"Stebbing, 1906",140,Family,1055685,Animalia,Arthropoda,Malacostraca,Amphipoda,Bateidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:158030
Brachyscelidae,Brachyscelidae,"Brachyscelidae Stephensen, 1923",17,101414,"Stephensen, 1923",140,Family,155698,Animalia,Arthropoda,Malacostraca,Amphipoda,Brachyscelidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:101414
Brachyscelus,Brachyscelus,"Brachyscelus Spence Bate, 1861",18,101792,"Spence Bate, 1861",180,Genus,101414,Animalia,Arthropoda,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus,,Amphipod,urn:lsid:marinespecies.org:taxname:101792
Brachyscelus crusculum,Brachyscelus crusculum,"Brachyscelus crusculum Spence Bate, 1861",19,103241,"Spence Bate, 1861",220,Species,101792,Animalia,Arthropoda,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus,Brachyscelus crusculum,Amphipod,urn:lsid:marinespecies.org:taxname:103241
Brachyscelus globiceps,Brachyscelus latipes,"Brachyscelus globiceps (Claus, 1879)",20,236552,"(Claus, 1879)",220,Species,101792,Animalia,Arthropoda,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus,Brachyscelus globiceps,Amphipod,urn:lsid:marinespecies.org:taxname:236552
Brachyscelus rapax,Brachyscelus rapax,"Brachyscelus rapax (Claus, 1871)",21,236554,"(Claus, 1871)",220,Species,101792,Animalia,Arthropoda,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus,Brachyscelus rapax,Amphipod,urn:lsid:marinespecies.org:taxname:236554
Calliopiidae,Calliopiidae,"Calliopiidae G.O. Sars, 1893",22,146744,"G.O. Sars, 1893",140,Family,719505,Animalia,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:146744
Calliopioidea,Calliopioidea,"Calliopioidea G.O. Sars, 1895",23,719505,"G.O. Sars, 1895",130,Superfamily,719495,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:719505
Calliopius,Calliopius,"Calliopius Lilljeborg, 1865",24,101511,"Lilljeborg, 1865",180,Genus,146744,Animalia,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Calliopius,,Amphipod,urn:lsid:marinespecies.org:taxname:101511
Calliopius laeviusculus,Calliopius laeviusculus,"Calliopius laeviusculus (Krøyer, 1838)",25,102178,"(Krøyer, 1838)",220,Species,101511,Animalia,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Calliopius,Calliopius laeviusculus,Amphipod,urn:lsid:marinespecies.org:taxname:102178
Calliopius pacificus,Calliopius pacificus,"Calliopius pacificus Bousfield & Hendrycks, 1997",26,430720,"Bousfield & Hendrycks, 1997",220,Species,101511,Animalia,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Calliopius,Calliopius pacificus,Amphipod,urn:lsid:marinespecies.org:taxname:430720
Caprella,Caprella,"Caprella Lamarck, 1801",27,101430,"Lamarck, 1801",180,Genus,430770,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,,Amphipod,urn:lsid:marinespecies.org:taxname:101430
Caprella unica,Caprella unica,"Caprella unica Mayer, 1903",28,158160,"Mayer, 1903",220,Species,101430,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,Caprella unica,Amphipod,urn:lsid:marinespecies.org:taxname:158160
Caprellidae,Caprellidae,"Caprellidae Leach, 1814",29,101361,"Leach, 1814",140,Family,196121,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:101361
Caprellidira,Caprellidira,"Caprellidira Leach, 1814 (sensu Lowry & Myers, 2013)",30,719478,"Leach, 1814 (sensu Lowry & Myers, 2013)",122,Parvorder,719474,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:719478
Caprellinae,Caprellinae,"Caprellinae Leach, 1814",31,430770,"Leach, 1814",150,Subfamily,101361,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:430770
Caprelloidea,Caprelloidea,"Caprelloidea Leach, 1814",32,196121,"Leach, 1814",130,Superfamily,719478,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:196121
Casco,Casco,"Casco Shoemaker, 1930",33,158076,"Shoemaker, 1930",180,Genus,430450,Animalia,Arthropoda,Malacostraca,Amphipoda,Cheirocratidae,Casco,,Amphipod,urn:lsid:marinespecies.org:taxname:158076
Casco bigelowi,Casco bigelowi,"Casco bigelowi Blake, 1929",34,158077,"Blake, 1929",220,Species,158076,Animalia,Arthropoda,Malacostraca,Amphipoda,Cheirocratidae,Casco,Casco bigelowi,Amphipod,urn:lsid:marinespecies.org:taxname:158077
Cheirocratidae,Cheirocratidae,"Cheirocratidae d'Udekem d'Acoz, 2010",35,430450,"d'Udekem d'Acoz, 2010",140,Family,719505,Animalia,Arthropoda,Malacostraca,Amphipoda,Cheirocratidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:430450
Cheloscina,Cheloscina,"Cheloscina Shih & Hendrycks, 1996",36,550712,"Shih & Hendrycks, 1996",180,Genus,101419,Animalia,Arthropoda,Malacostraca,Amphipoda,Mimonectidae,Cheloscina,,Amphipod,urn:lsid:marinespecies.org:taxname:550712
Chevreuxiella,Chevreuxiella,"Chevreuxiella Stephensen, 1915",37,237644,"Stephensen, 1915",180,Genus,558702,Animalia,Arthropoda,Malacostraca,Amphipoda,Thoriellidae,Chevreuxiella,,Amphipod,urn:lsid:marinespecies.org:taxname:237644
Cleonardo,Cleonardo,"Cleonardo Stebbing, 1888",38,101513,"Stebbing, 1888",180,Genus,101380,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Cleonardo,,Amphipod,urn:lsid:marinespecies.org:taxname:101513
Cranocephalus,Cranocephalus,"Cranocephalus Bovallius, 1890",39,236584,"Bovallius, 1890",180,Genus,196118,Animalia,Arthropoda,Malacostraca,Amphipoda,Oxycephalidae,Cranocephalus,,Amphipod,urn:lsid:marinespecies.org:taxname:236584
Cranocephalus scleroticus,Cranocephalus scleroticus,"Cranocephalus scleroticus (Streets, 1878)",40,236585,"(Streets, 1878)",220,Species,236584,Animalia,Arthropoda,Malacostraca,Amphipoda,Oxycephalidae,Cranocephalus,Cranocephalus scleroticus,Amphipod,urn:lsid:marinespecies.org:taxname:236585
Cyllopodidae,Cyllopodidae,"Cyllopodidae Bovallius, 1887",41,458667,"Bovallius, 1887",140,Family,155694,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:458667
Cyllopus,Cyllopus,"Cyllopus Dana, 1852",42,325405,"Dana, 1852",180,Genus,458667,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,Cyllopus,,Amphipod,urn:lsid:marinespecies.org:taxname:325405
Cyllopus lucasii,Cyllopus lucasii,"Cyllopus lucasii Spence Bate, 1862",43,325406,"Spence Bate, 1862",220,Species,325405,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,Cyllopus,Cyllopus lucasii,Amphipod,urn:lsid:marinespecies.org:taxname:325406
Cyllopus magellanicus,Cyllopus magellanicus,"Cyllopus magellanicus Dana, 1853",44,325407,"Dana, 1853",220,Species,325405,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,Cyllopus,Cyllopus magellanicus,Amphipod,urn:lsid:marinespecies.org:taxname:325407
Cyphocarididae,Cyphocarididae,"Cyphocarididae Lowry & Stoddart, 1997",45,177051,"Lowry & Stoddart, 1997",140,Family,176788,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,,,Amphipod,urn:lsid:marinespecies.org:taxname:177051
Cyphocaris,Cyphocaris,"Cyphocaris Boeck, 1871",46,101603,"Boeck, 1871",180,Genus,177051,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,,Amphipod,urn:lsid:marinespecies.org:taxname:101603
Cyphocaris anonyx,Cyphocaris anonyx,"Cyphocaris anonyx Boeck, 1871",47,102554,"Boeck, 1871",220,Species,101603,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,Cyphocaris anonyx,Amphipod,urn:lsid:marinespecies.org:taxname:102554
Cyphocaris challengeri,Cyphocaris challengeri,"Cyphocaris challengeri Stebbing, 1888",48,428630,"Stebbing, 1888",220,Species,101603,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,Cyphocaris challengeri,Amphipod,urn:lsid:marinespecies.org:taxname:428630
Cyphocaris challengeri,Cyphocatris challengeri,"Cyphocaris challengeri Stebbing, 1888",48,428630,"Stebbing, 1888",220,Species,101603,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,Cyphocaris challengeri,Amphipod,urn:lsid:marinespecies.org:taxname:428630
Cyphocaris faurei,Cyphocaris faueri,"Cyphocaris faurei K.H. Barnard, 1916",49,214723,"K.H. Barnard, 1916",220,Species,101603,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,Cyphocaris faurei,Amphipod,urn:lsid:marinespecies.org:taxname:214723
Cyphocaris faurei,Cyphocaris faurei,"Cyphocaris faurei K.H. Barnard, 1916",49,214723,"K.H. Barnard, 1916",220,Species,101603,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,Cyphocaris faurei,Amphipod,urn:lsid:marinespecies.org:taxname:214723
Cyphocaris richardi,Cyphocaris richardi,"Cyphocaris richardi Chevreux, 1905",50,102557,"Chevreux, 1905",220,Species,101603,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris,Cyphocaris richardi,Amphipod,urn:lsid:marinespecies.org:taxname:102557
Cystisoma,Cystisoma,"Cystisoma Guérin-Méneville, 1842",51,101793,"Guérin-Méneville, 1842",180,Genus,101415,Animalia,Arthropoda,Malacostraca,Amphipoda,Cystisomatidae,Cystisoma,,Amphipod,urn:lsid:marinespecies.org:taxname:101793
Cystisoma fabricii,Cystisoma fabricii,"Cystisoma fabricii Stebbing, 1888",52,103243,"Stebbing, 1888",220,Species,101793,Animalia,Arthropoda,Malacostraca,Amphipoda,Cystisomatidae,Cystisoma,Cystisoma fabricii,Amphipod,urn:lsid:marinespecies.org:taxname:103243
Cystisomatidae,Cystisomatidae,"Cystisomatidae Willemöes-Suhm, 1875",53,101415,"Willemöes-Suhm, 1875",140,Family,155696,Animalia,Arthropoda,Malacostraca,Amphipoda,Cystisomatidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:101415
Dairella,Dairella,"Dairella Bovallius, 1887",54,101794,"Bovallius, 1887",180,Genus,101416,Animalia,Arthropoda,Malacostraca,Amphipoda,Dairellidae,Dairella,,Amphipod,urn:lsid:marinespecies.org:taxname:101794
Dairella californica,Dairella californica,"Dairella californica (Bovallius, 1885)",55,421612,"(Bovallius, 1885)",220,Species,101794,Animalia,Arthropoda,Malacostraca,Amphipoda,Dairellidae,Dairella,Dairella californica,Amphipod,urn:lsid:marinespecies.org:taxname:421612
Dairellidae,Dairellidae,"Dairellidae Bovallius, 1887",56,101416,"Bovallius, 1887",140,Family,155696,Animalia,Arthropoda,Malacostraca,Amphipoda,Dairellidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:101416
Danaella,Danaella,"Danaella Stephensen, 1925",57,101604,"Stephensen, 1925",180,Genus,558702,Animalia,Arthropoda,Malacostraca,Amphipoda,Thoriellidae,Danaella,,Amphipod,urn:lsid:marinespecies.org:taxname:101604
Deflexilodes intermedius,Monoculodes intermedius,"Deflexilodes intermedius (Shoemaker, 1930)",58,547044,"(Shoemaker, 1930)",220,Species,101694,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Deflexilodes,Deflexilodes intermedius,Amphipod,urn:lsid:marinespecies.org:taxname:547044
Dexamine,Dexamine,"Dexamine Leach, 1814",59,101498,"Leach, 1814",180,Genus,176774,Animalia,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Dexamine,,Amphipod,urn:lsid:marinespecies.org:taxname:101498
Dexamine thea,Dexamine thea,"Dexamine thea Boeck, 1861",60,102136,"Boeck, 1861",220,Species,101498,Animalia,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Dexamine,Dexamine thea,Amphipod,urn:lsid:marinespecies.org:taxname:102136
Dexaminidae,Dexaminidae,"Dexaminidae Leach, 1814",61,101378,"Leach, 1814",140,Family,1055692,Animalia,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:101378
Dexamininae,Dexamininae,Dexamininae NA,62,176774,,150,Subfamily,101378,Animalia,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:176774
Dexaminoidea,Dexaminoidea,"Dexaminoidea Leach, 1814",63,1055692,"Leach, 1814",130,Superfamily,1055691,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:1055692
Dulichiidae,Dulichiidae,"Dulichiidae Dana, 1849",64,236746,"Dana, 1849",140,Family,196121,Animalia,Arthropoda,Malacostraca,Amphipoda,Dulichiidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:236746
Dyopedos,Dyopedos,"Dyopedos Spence Bate, 1857",65,101736,"Spence Bate, 1857",180,Genus,236746,Animalia,Arthropoda,Malacostraca,Amphipoda,Dulichiidae,Dyopedos,,Amphipod,urn:lsid:marinespecies.org:taxname:101736
Eophliantidae,Eophliantidae,"Eophliantidae Sheard, 1936",66,176811,"Sheard, 1936",140,Family,1325691,Animalia,Arthropoda,Malacostraca,Amphipoda,Eophliantidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:176811
Eupronoe,Eupronoe,"Eupronoe Claus, 1879",67,236626,"Claus, 1879",180,Genus,951997,Animalia,Arthropoda,Malacostraca,Amphipoda,Eupronoidae,Eupronoe,,Amphipod,urn:lsid:marinespecies.org:taxname:236626
Eupronoe maculata,Euprone maculata,"Eupronoe maculata Claus, 1879",68,236627,"Claus, 1879",220,Species,236626,Animalia,Arthropoda,Malacostraca,Amphipoda,Eupronoidae,Eupronoe,Eupronoe maculata,Amphipod,urn:lsid:marinespecies.org:taxname:236627
Eupronoe minuta,Euprone minuta,"Eupronoe minuta Claus, 1879",69,236628,"Claus, 1879",220,Species,236626,Animalia,Arthropoda,Malacostraca,Amphipoda,Eupronoidae,Eupronoe,Eupronoe minuta,Amphipod,urn:lsid:marinespecies.org:taxname:236628
Eupronoidae,Eupronoidae,"Eupronoidae Zeidler, 2016",70,951997,"Zeidler, 2016",140,Family,155698,Animalia,Arthropoda,Malacostraca,Amphipoda,Eupronoidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:951997
Eusiridae,Eusiridae,"Eusiridae Stebbing, 1888",71,101380,"Stebbing, 1888",140,Family,1055685,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,,,Amphipod,urn:lsid:marinespecies.org:taxname:101380
Eusiridira,Eusiridira,"Eusiridira Stebbing, 1888",72,1055684,"Stebbing, 1888",122,Parvorder,1055679,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:1055684
Eusiroidea,Eusiroidea,"Eusiroidea Stebbing, 1888",73,1055685,"Stebbing, 1888",130,Superfamily,1055684,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:1055685
Eusirus,Eusirus,"Eusirus Krøyer, 1845",74,101519,"Krøyer, 1845",180,Genus,101380,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Eusirus,,Amphipod,urn:lsid:marinespecies.org:taxname:101519
Eusirus antarcticus,Eusirus antarcticus,"Eusirus antarcticus Thomson, 1880",75,237719,"Thomson, 1880",220,Species,101519,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Eusirus,Eusirus antarcticus,Amphipod,urn:lsid:marinespecies.org:taxname:237719
Exoedicerotidae,Exoedicerotidae,"Exoedicerotidae Barnard & Drummond, 1982",76,176965,"Barnard & Drummond, 1982",140,Family,1055683,Animalia,Arthropoda,Malacostraca,Amphipoda,Exoedicerotidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:176965
Gibberosus,Gibberosus,"Gibberosus Thomas & Barnard, 1986",77,390811,"Thomas & Barnard, 1986",180,Genus,101396,Animalia,Arthropoda,Malacostraca,Amphipoda,Megaluropidae,Gibberosus,,Amphipod,urn:lsid:marinespecies.org:taxname:390811
Glossocephalus,Glossocephalus,"Glossocephalus Bovallius, 1887",78,236586,"Bovallius, 1887",180,Genus,196118,Animalia,Arthropoda,Malacostraca,Amphipoda,Oxycephalidae,Glossocephalus,,Amphipod,urn:lsid:marinespecies.org:taxname:236586
Glossocephalus milneedwardsi,Glossocephalus milneedwardsi,"Glossocephalus milneedwardsi Bovallius, 1887",79,236587,"Bovallius, 1887",220,Species,236586,Animalia,Arthropoda,Malacostraca,Amphipoda,Oxycephalidae,Glossocephalus,Glossocephalus milneedwardsi,Amphipod,urn:lsid:marinespecies.org:taxname:236587
Hadziidira,Hadziidira,"Hadziidira S. Karaman, 1932",80,719495,"S. Karaman, 1932",122,Parvorder,719475,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:719495
Hemityphis,Hemityphis,"Hemityphis Claus, 1879",81,236618,"Claus, 1879",180,Genus,101422,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyscelidae,Hemityphis,,Amphipod,urn:lsid:marinespecies.org:taxname:236618
Hemityphis tenuimanus,Hemityphis tenuimanus,"Hemityphis tenuimanus Claus, 1879",82,236619,"Claus, 1879",220,Species,236618,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyscelidae,Hemityphis,Hemityphis tenuimanus,Amphipod,urn:lsid:marinespecies.org:taxname:236619
Hippomedon,Hippomedon,"Hippomedon Boeck, 1871",83,101610,"Boeck, 1871",180,Genus,176955,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Hippomedon,,Amphipod,urn:lsid:marinespecies.org:taxname:101610
Hyaloidea,Hyaloidea,"Hyaloidea Bulyčeva, 1957",84,1325691,"Bulyceva, 1957",130,Superfamily,719473,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:1325691
Hyperia,Hyperia,"Hyperia Latreille, 1823",85,101796,"Latreille, 1823",180,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,,Amphipod,urn:lsid:marinespecies.org:taxname:101796
Hyperia galba,Hyperia galba,"Hyperia galba (Montagu, 1813)",86,103251,"(Montagu, 1813)",220,Species,101796,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia galba,Amphipod,urn:lsid:marinespecies.org:taxname:103251
Hyperia galba,Hyperia latreillei,"Hyperia galba (Montagu, 1813)",86,103251,"(Montagu, 1813)",220,Species,101796,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia galba,Amphipod,urn:lsid:marinespecies.org:taxname:103251
Hyperia gaudichaudii,Hyperia gaudichaudii,"Hyperia gaudichaudii H. Milne Edwards, 1840",87,325380,"H. Milne Edwards, 1840",220,Species,101796,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia gaudichaudii,Amphipod,urn:lsid:marinespecies.org:taxname:325380
Hyperia medusarum,Hyperia medusarum,"Hyperia medusarum (Müller, 1776)",88,103253,"(Müller, 1776)",220,Species,101796,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia medusarum,Amphipod,urn:lsid:marinespecies.org:taxname:103253
Hyperia spinigera,Hyperia spinigera,"Hyperia spinigera Bovallius, 1889",89,103254,"Bovallius, 1889",220,Species,101796,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia spinigera,Amphipod,urn:lsid:marinespecies.org:taxname:103254
Hyperiella,Hyperiella,"Hyperiella Bovallius, 1887",90,325378,"Bovallius, 1887",180,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperiella,,Amphipod,urn:lsid:marinespecies.org:taxname:325378
Hyperiella dilatata,Hyperiella dilatata,"Hyperiella dilatata Stebbing, 1888",91,325383,"Stebbing, 1888",220,Species,325378,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperiella,Hyperiella dilatata,Amphipod,urn:lsid:marinespecies.org:taxname:325383
Hyperiidae,Hyperiidae,"Hyperiidae Dana, 1852",92,101417,"Dana, 1852",140,Family,155696,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:101417
Hyperioides,Hyperioides,"Hyperioides Chevreux, 1900",93,101797,"Chevreux, 1900",180,Genus,414835,Animalia,Arthropoda,Malacostraca,Amphipoda,Lestrigonidae,Hyperioides,,Amphipod,urn:lsid:marinespecies.org:taxname:101797
Hyperioides longipes,Hyperioides longipes,"Hyperioides longipes Chevreux, 1900",94,103255,"Chevreux, 1900",220,Species,101797,Animalia,Arthropoda,Malacostraca,Amphipoda,Lestrigonidae,Hyperioides,Hyperioides longipes,Amphipod,urn:lsid:marinespecies.org:taxname:103255
Hyperoche,Hyperoche,"Hyperoche Bovallius, 1887",95,101798,"Bovallius, 1887",180,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperoche,,Amphipod,urn:lsid:marinespecies.org:taxname:101798
Hyperoche mediterranea,Hyperoche mediterranea,"Hyperoche mediterranea Senna, 1908",96,236561,"Senna, 1908",220,Species,101798,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperoche,Hyperoche mediterranea,Amphipod,urn:lsid:marinespecies.org:taxname:236561
Hyperoche medusarum,Hyperoche medusarum,"Hyperoche medusarum (Kröyer, 1838)",97,103256,"(Kröyer, 1838)",220,Species,101798,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperoche,Hyperoche medusarum,Amphipod,urn:lsid:marinespecies.org:taxname:103256
Hyperoche medusarum,Hyperoche tauriformis,"Hyperoche medusarum (Kröyer, 1838)",97,103256,"(Kröyer, 1838)",220,Species,101798,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperoche,Hyperoche medusarum,Amphipod,urn:lsid:marinespecies.org:taxname:103256
Ischyroceridae,Ischyroceridae,"Ischyroceridae Stebbing, 1899",98,101389,"Stebbing, 1899",140,Family,716961,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,,,Amphipod,urn:lsid:marinespecies.org:taxname:101389
Ischyrocerinae,Ischyrocerinae,"Ischyrocerinae Stebbing, 1899",99,491661,"Stebbing, 1899",150,Subfamily,101389,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,,,Amphipod,urn:lsid:marinespecies.org:taxname:491661
Ischyrocerini,Ischyrocerini,"Ischyrocerini Stebbing, 1899",100,491676,"Stebbing, 1899",160,Tribe,491661,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,,,Amphipod,urn:lsid:marinespecies.org:taxname:491676
