referenceCode,fullCitation,referenceDOI
Flood1992,"Flood, P.R. Deibel, D. and Morris, C.C. 1992. Filtration of coloidal melanin from sea water by planktonic tunicates. Nature, London, 355, 630-632.",
Flores2014,"Flores, H., Hunt, B.P., Kruse, S., Pakhomov, E.A., Siegel, V., van Franeker, J.A., Strass, V., Van de Putte, A.P., Meesters, E.H. and Bathmann, U., 2014. Seasonal changes in the vertical distribution and community structure of Antarctic macrozooplankton and micronekton. Deep Sea Research Part I: Oceanographic Research Papers, 84, pp.127-141.",10.1016/j.dsr.2013.11.001
Follum1987,"Follum OA, Gray JS (1987) Nitrogenous excretion by the sediment-living bivalve Nucula tenuis from the Oslofjord, Norway. Mar. Biol 96:355-358.",
Forster2011,"Forster J, Hirst AG, Atkinson D. 2011. How do organisms change size with changing temperature? The importance of reproductive method and ontogenetic timing. Funct. Ecol. 25(5):1024–31",
Fosså1992,,
Frandsen1997,"Frandsen, K.T., Riisgard, H.U. (1997) Size dependent respiration and growth of jellyfish, Aurelia aurita. Sarsia 82:307-312",
Franqueville1971,"Franqueville, C. 1971. Macroplancton profond (invertebres) de la Mediterranee nord-occidentale. Tethys, 3, 11-56.",
Fraser1969,"Fraser, J.H., 1969. Experimental feeding of some medusae and chaetognatha. Journal of the Fisheries Board of Canada, 26(7), pp.1743-1762.",10.1139/f69-161
Fraser1989,"Fraser A. J., Sargent J. R., and J. C. Gamble. 1989. Lipid class and fatty acid composition of Calanus finmarchicus (Gunnerus), Pseudocalanus sp and Temora longicornis (M�ller) from a nutrient-enriched seawater enclosure. Journal of Experimental Marine Biology and Ecology ",
Frey1973,"Frey, D. G. 1973. Comparative morphology and biology of three species of Eurycercus (Chrydoridae, Cladocera) with a description of Eurycercus macrocanthus sp. Internationale Revue der gesamten Hydrobiologie",
Frimodt1995,"Frimodt, C. (1995). Multilingual illustrated guide to the world's commercial coldwater fish. Fishing News Books, Osney Mead, Oxford, England. 215 p.; Lamb, A.; Edgell, P. (1986). Coastal fishes of the Pacific northwest. Harbour Publishing Co. Ltd., B.C., Canada. 224 p.",
Frost1972,"Frost, Bruce W (2014): Maximum ingestion and maximum clearance rate of Calanus pacificus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834767",10.1594/PANGAEA.834767
Frost1972b,,
Frost1974,"Frost, B. W.: Calanus marshallae, a new species of calanoid copepod closely allied to the sibling species C. finmarchicus and C. glacialis, Mar. Biol., 26(1), 77–99, ",10.1007/BF00389089
Frost1983,"Frost, B., 1983. Feeding behavior of large calanoid copepods Neocalanus cristatus and N. plumchrus from the subarctic Pacific Ocean. Deep-sea Research. 30, 1-13.",
Fryd1991a,"Fryd, Michael; Haslund, Ole Hendrik; Wohlgemuth, Ole (2014): Growth rate of Centropages hamatus and Centropages typicus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834316",10.1594/PANGAEA.834316
Fryd1991b,"Fryd, M., O.H. Haslund, and O. Wohlgemuth. 1991. Development, growth and egg pr",
Fukuhara1985,"Fukuhara H, Sakamoto M (1987) Enhancement of inorganic nitrogen and phosphate release from lake sediment by tubificid worms and chironomid larvae. Oikos 48:312-320.",
Fukuhara1989,"Fukuhara H, Yasuda K (1985) Phosphorus excretion by some zoobenthos in a eutrophic freshwater lake and its temperature dependency. Japan. J. Limnol 4:287-296.",
Furnestin1960,"Furnestin M-L. (1960) Zooplancton du Golfe du Lion et de la côte orientale de Corse. Revue des Travaux de l'Institut des Pêches maritimes, 24(2), 153-252.",
Galt1972,,
GaltUnpub,,
Ganf1974,"Ganf, G. G., and P. Blazka. 1974. Oxygen uptake, ammonia and phosphate excretion by zooplankton of a shallow equatorial (Lake George, Uganda). Limnology and Oceanography",
Gannefors2005,"Gannefors, C., Böer, M., Kattner, G., Graeve, M., Eiane, K., Gulliksen, B.R., Hop, H., Falk-Petersen, S. (2005) The Arctic sea butterfly Limacina helicina: Lipids and life strategy. Marine Biol. 147, 169.",
García1990,,
Gardner1981a,"Gardner, W. S., and W. H. Miller. 1981. Intracellular Composition and Net Release Rates of Free Amino Acids in Daphnia magna. Canadian Journal of Fisheries and Aquatic Sciences",
Gardner1981b,"Gardner, W. S., and D. Scavia. 1981. Kinetic examination of nitrogen release by zooplankters. Limnology and Oceanography",
Gardner1982,"Gardner, G.A., Szabo, I., 1982. British Columbia Pelagic Marine Copepoda: An identification Manual and Annotated Bibliography.  Can. Spec. Publ. Fish. Aquat. Sci. 62, 75-430.",
Gardner1993,"Gardner WS, Briones EE, Kaegi EC, Rowe GT (1993) Ammonium excretion by benthic invertebrates and sediment-water nitrogen flux in the Gulf of Mexico near the Mississippi River outflow. Estuaries 16:799-808.",
Gaudy1983,"Gaudy, R. and Boucher, J.: Relation between respiration, excretion (ammonia and inorganic phosphorus) and activity of amylase and trypsin in different species of pelagic copepods from an Indian Ocean equatorial area, Mar. Biol., 75(1), 37–45, ",10.1007/BF00392628
Gaudy2007,"Gaudy, R. and Thibault-Botha, D.: Metabolism of Centropages species in the Mediterranean Sea and the North Atlantic Ocean, Prog. Oceanogr., 72(2-3), 151–163, ",10.1016/j.pocean.2007.01.005
Gauns2015,,
Gershwin2002,"Gershwin L-A, Collins AG. 2002. A preliminary phylogeny of Pelagiidae (Cnidaria, Scyphozoa), with new observations of Chrysaora colorata comb. nov. J. Nat. Hist. 36(2):127–48",
Gibson2000,"Gibson DM, Paffenhofer G-A (2000) Feeding and growth rates of the doliolid, Dolioletta gegenbauri Uljanin (Tunicata, Thaliacea). J Plankton Res 22: 1485-1500",
Gibson2000a,"Gibson, D M; PaffenhÃ¶fer, Gustav-Adolf (2014): Maximum ingestion and maximum clearance rate of Dolioletta genenbauri determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834768",10.1594/PANGAEA.834768
Gibson2000b,"Gibson, D M; PaffenhÃ¶fer, Gustav-Adolf (2014): Growth rate of Dolioletta gegenbauri determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834330",10.1594/PANGAEA.834330
Gido2002,Gido KB (2002) Interspecific comparisons and the potential importance of nutrient excretion by benthic fishes in a large reservoir. Trans. Am. Fish. Soc 131:260-270.,
Gilmer1974,"Gilmer, R.W. 1974. Some aspects of feeding in the thecosomatous pteropod molluscs. Journal of Experimental Marine Biology and Ecology, 15, 127-144.",
GilmerUnpub,,
Girin1975,"Girin, Michel; Barahona-Fernandes, Maria Helena; Le Roux, A (2014): Growth rate of Dicentrarchus labrax determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834332",10.1594/PANGAEA.834332
Gismervik1997,"Gismervik, I. 1997. Implications of zooplankton stoichiometry on distribution of N and P among planktonic size fractions . Journal of Plankton Research ",
Gismervik2005,"Gismervik, Ingrid (2014): Growth rate of Ciliates determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834392",10.1594/PANGAEA.834392
Go1998,"Go Y.-B., Oh B.-C. and Terazaki M. (1998) Feeding behavior of the poecilostomatoid copepods Oncaea spp. on chaetognaths. Journal of Marine Systems, 15(1), 475-82.",
Godinot2009,"Godinot C, Chadwick NE (2009) Phosphate excretion by anemonefish and uptake by giant sea anemones: demand outstrips supply. Bull. Mar. Sci 85:1-9.",
Goette1887,Goette A. 1887. Abhandlungen zur Entwickelungsgeschichte der Tiere: Heft. Entwickelungsgeschichte der Aurelia aurita und Cotylorhiza tuberculata. L. Voss. 4:,
GomezGutierrez1999,"Gomez-Gutierrez, J.: Egg production rates of eight calanoid copepod species during summer 1997 off Newport, Oregon, USA, J. Plankton Res., 21(4), 637–657, ",10.1093/plankt/21.4.637
GomezGutierrez2002,"Gomez-Gutierrez, J., 2002. Hatching mechanism and delayed hatching of the eggs of three broadcast spawning euphausiid species under laboratory conditions. J. Plankton Res. 24, 1265.",
GomezGutierrez2006,"Gómez-Gutiérrez J, Feinberg L, Shaw T, Peterson W. 2006. Variability in brood size and female length of Euphausia pacifica among three populations in the North Pacific. Mar. Ecol. Prog. Ser. 323:185–94",
Gonzalez1994,"Gonzalez H.E. and Smetacek V. (1994) The possible role of the cyclopoid copepod Oithona in retarding vertical flux of zooplankton faecal material. Marine Ecology Progress Series, 113(3), 233-246.",
Gooday1976,"Gooday, A J. (1976). A taxonomy of Conchoecia (Ostracoda, Halocypridinae) of the gaussi and edentata groups from the northeast Atlantic with a note on their ecology. Bulletin of the British Museum (Natural History), 30 (3), 55-100",
Gophen1976,"Gophen, M. 1976. Temperature dependence of food intake, ammonia excretion and respiration in Ceriodaphnia reticulata (Jurine) (Lake Kinneret, Israel). Freshwater Biology",
Gophen1981,"Gophen M. and Harris R. (1981) Visual predation by a marine cyclopoid copepod, Corycaeus anglicus. Journal of the Marine Biological Association of the United Kingdom, 61(02), 391-399.",
Gorbatenko2009,"Gorbatenko, K.M., Nikolayev, A.V., Figurkin, A.L. and Il’inskii, E.N., 2009. Quantitative composition, distribution, and feeding of large jellyfish (Scyphozoa et Hydrozoa) on the West Kamchatka shelf in summer. Russian Journal of Marine Biology, 35(7), pp.579-592.",10.1134/S1063074009070074
Gordon2004,"Gordon M, Hatcher C, Seymour J. 2004. Growth and age determination of the tropical Australian cubozoan Chiropsalmus sp. Hydrobiologia. 530-531(1-3):339–45",
Gorskey1988,,
Gorsky1987,"Gorsky G, Palazzoli I, Fenaux R (1987) Influence of temperature-changes on oxygen-uptake and ammonia and phosphate excretion, in relation to body size and weight, in Oikopleura dioica (Appendicularia). Mar. Biol 94:191-201.",
Gorsky1988a,"Gorsky, G., Dallot, S., Sardou, J., Fenaux, R., Carre, C., and I. Palazzoli. 1988. C and N composition of some northwestern Mediterranean zooplankton and micronekton species. Journal of Experimental Marine Biology and Ecology ",
Gorsky1988b,"Gorsky, G. and Fenaux, R., 1998. The role of Appendicularia in marine food webs. The biology of pelagic tunicates, pp.161-169.",
Goss1980,"Goss, L. B., and D. L. Bunting. 1980. Temperature effects on zooplankton respiration. Comparative and Biochemical Physiology ",
Gough1905,"Gough, L.H. 1905. On the distribution and migrations of Muggiaea atlantica Cunningham, in the English Channel, the Irish Sea and off the South and West Coasts of Ireland in 1904. J. Cons. Perm. Int. Explor. Mer. Publ Cir. 29: 493-519.",
Gould2010,"Gould, Alison L; Kimmerer, Wim J (2014): Growth rate of Limnoithona tetraspina determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834393",10.1594/PANGAEA.834393
Gowing1986,"Gowing M.M. and Wishner K.F. (1986) Trophic relationships of deep-sea calanoid copepods from the benthic boundary layer of the Santa Catalina Basin, California. Deep Sea Research Part A Oceanographic Research Papers, 33(7), 939-961.",
Gowing1992,"Gowing, M. M., and K. F. Wishner. 1992. Feeding ecology of benthopelagic zooplankton on an eastern tropical Pacific seamount. Marine Biology.",
Graeve1994,"Graeve M., Hagen W., and G. Kattner. 1994. Herbivorous or ominivorous? On the significance of lipid compositions as trophic markers in Antarctic copepods . Deep-Sea Research I ",
Gray1985,Gray JS (1985) Nitrogenous excretion by meiofauna from coral reef sediments – Mecor 5. Mar. Biol 89:31-35.,
Green1956,"Green, J. 1956. Growth, size, and reproduction in Daphnia (Crustacea: Cladocera). Journal of the Zoological society of London",
Green1977,"Green, J. D., and M. A. Chapman. 1977. Temperature effects on oxygen consumption by copepod Boeckella dilatata. New Zealand Journal of Marine and Freshwater Research",
Greene1985,"Greene, CH, Landry MR., 1985. Patterns of prey selection in the cruising calanoid predator Euchaeta elongata. Ecology. 66, 1408-1416.",
Greve1970,"Greve, Wulf (2014): Growth rate of Bolionopsis infundibulum determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834394",10.1594/PANGAEA.834394
Greve1976,"Greve, W., Stockner, J. and Fulton, J. 1976. Towards a theory of speciation in Beroe. In Coelenterate Ecology and Behavior (G.O. Mackie, ed.), pp. 2510258. Plenum Press, New York and London.",
Grove2005,"Grove M, Breitburg DL (2005) Growth and reproduction of gelatinous zooplankton exposed to low dissolved oxygen. Mar Ecol Prog Ser 301: 185-198",
Guglielmo2014,"Guglielmo, R., Gambi, M.C., Granata, A., Guglielmo, L. and Minutoli, R., 2014. Composition, abundance and distribution of holoplanktonic polychaetes within the Strait of Magellan (southern America) in austral summer. Polar Biology, 37(7), pp.999-1015.",10.1007/s00300-014-1496-8
Haddock2007,"Haddock, S.H., 2007. Comparative feeding behavior of planktonic ctenophores. Integrative and Comparative Biology, 47(6), pp.847-853.",10.1093/icb/icm088
HaertelBorer2004,"Haertel-Borer SS, Allen DM, Dame RF (2004) Fishes and shrimps are significant sources of dissolved inorganic nutrients in intertidal salt marsh creeks. J. Exp. Mar. Biol. Ecol 311:79-99.",
Hagen1995,"Hagen, W., Kattner, G., and M. Graeve. 1995.  On the lipid biochemistry of polar copepods: Compositional differences in the Antarctic calanoids Euchaeta antarctica and Euchirella rostromagna . Marine Biology ",
Hall2003,"Hall RO, Koch BJ, Marshall MC, Taylor BW, Tronstad LM (2007) How body size mediates the role of animals in nutrient cycling in aquatic ecosystems. In: Body Size: The Structure and Function of Aquatic Ecosystems (eds Hildrew, A.G., Raffaelli, D.G. & Edmonds-Brown, R.). Cambridge University Press, Cambridge, U.K., pp 286-305.",
Hall2007,"Hall RO, Tank JL, Dybdahl MF (2003) Exotic snails dominate nitrogen and carbon cycling in a highly productive stream. Front. Ecol. Environ 1:407-411.",
Hamilton1970,"Hamilton, R D; Preslan, Janet E (2014): Growth rate of Uronema determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834399",10.1594/PANGAEA.834399
Hamner1975,"Hamner, W.M., Madin, L.P., Alldredge, A.L., Gilmer, R.W. and Hamner, P.P. 1975. Underwater observations of gelatinous zooplankton, sampling problems, feeding biology and behavior. Limnology and Oceanography, 20, 907-917.",
Hanamura2009,"Hanamura Y, Siow R, Chee P, Kassim F. 2009. Seasonality and biological characteristics of the shallow-water mysid Mesopodopsis orientalis (Crustacea: Mysida) on a tropical sandy beach, Malaysia. Plankt. Benthos Res. 4(2):53–61",
Handeland2008,"Handeland, Sigurd O; Imsland, Albert K; Stefansson, Sigurd O (2014): Growth rate of Salmo salar determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834400",10.1594/PANGAEA.834400
Hansen1997a,"Hansen, Per Juel; Nielsen, Torkel Gissel (2014): Maximum ingestion and maximum clearance rate of Fragilidium subglobosum determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834769",10.1594/PANGAEA.834769
Hansen1997b,"Hansen, Per Juel; BjÃ¸rnsen, Peter K; Hansen, Benni Winding (2014): Maximum ingestion and maximum clearance rate of Zooplankton determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834800",10.1594/PANGAEA.834800
Hansen1997c,"Hansen, Per Juel; BjÃ¸rnsen, Peter K; Hansen, Benni Winding (2014): Growth rate of Zooplankton determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834422",10.1594/PANGAEA.834422
Haq1967,"Haq, S. M. (1967). Nutritional, physiology of Metridia lucens and M. longa from the Gulf of Maine. Limnology and Oceanography, 12(1), 40-51. ",10.4319/lo.1967.12.1.0040
Harbison1976,"Harbison, G R; Gilmer, R W (2014): Maximum ingestion and maximum clearance rate of Pegea confoederata determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834805",10.1594/PANGAEA.834805
Harbison1976a,"Harbison, G.R. and Gilmer, R.W. 1976. The feeding rates of the pelagic tunicate Pegea confoederata and two other salps. Limnology and Oceanography, 21, 517-528.",
Harbison1977,"Harbison, G.R., Biggs, D.C., and Madin, L.P. 1977. The associations of Amphipoda Hyperiidea with gelatinous zooplankton - II. Association with Cnidaria, Ctenophora and Radiolaria. Deep-Sea Research 24: 465-488.",
Harbison1978,"Harbison, G.R., Madin, L.P. and Swanberg, N.R. 1978. On the natural history and distribution of oceanic ctenophores. Deep-Sea Research, 25, 233-256.",
Harbison1979,"Harbison, G.R. and McAlister, V.L. 1979. The filter-feeding rates and particle retention efficiencies of three species of Cyclosalpa (Tunicata, Thaliacea). Limnology and Oceanography, 24, 875-892.",
HarbisonComm,,
Harding1974,"Harding G. (1974) The food of deep-sea copepods. Journal of the Marine Biological Association of the United Kingdom, 54(01), 141-155.",
Harding2004,"Harding, G.: Key to the adult pelagic calanoid copepods found over the continental shelf of the canadian atlantic coast. [online] Available from: http://www.marinebiodiversity.ca/en/pdfs/cobepod_key.pdf, 2004.",
Haro2003,"Haro-Garay, M.J., 2003. Diet and functional morphology of the mandible of two planktonic amphipods from the Strait of Georgia, British Columbia, Parathemisto pacifica (Stebbing, 1888) and Cyphocaris challengeri (Stebbing, 1888). Crustaceana, pp.1291-1312.",10.1163/156854003323009821
Harris1959,"Harris, E. 1959. The nitrogen cycle in Long Island Sound . Oceanography of Long Island Sound",
Harris1976,"Harris, R.P. and Paffenhofer, G.-A. 1976. Feeding, growth and reproduction of the marine planktonic copepod Temora longicornis Muller. Journal of the Marine Biological Association of the United Kingdom 56: 675-690.",
Harris1976a,"Harris, Roger P; PaffenhÃ¶fer, Gustav-Adolf (2014): Growth rate of Temora longicornis determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834425",10.1594/PANGAEA.834425
Harris1976b,"Harris, R.P., and G.-A. Paffenhofer. 1976. Feeding, growth and reproduction of ",
Harris1977,"Harris, R. P., Berdugo, V., Corner, E. D. S., Kilvington, C. C., and S. C. M. O'Hara. 1977. Factors affecting the retention of a petroleum hydrocarbon by marine planktonic copepods. Fate and effects of petroleum hydrocarbons in marine ecosystems and organisms",
Hart1954,,
Hart19711971,,
Hart1973,"Hart, J.L. (1973). Pacific fishes of Canada. Bull. Fish. Res. Board Can. 180:740 p.",
Hartmann1987,"Hartmann, H. J. 1987. Effects of differential grazing and phosphorus recycling on the phytoplankton community dynamics. ",
Hassett1990,"Hassett, R. P., and M. R. Landry. 1990. Effects of diet and starvation on digestive enzyme activity and feeding behavior of the marine copepod Calanus pacificus . Journal of Plankton Research",
Hayward1990,"Hayward, P.J.; Ryland, J.S. (Ed.). (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. ISBN 0-19-857356-1. 627 pp.",
He2007,"He, W., and W. X. Wang. 2007. Kinetics of phosphorus in Daphnia at different food concentrations and carbon:phosphorus ratios . Limnology and Oceanography",
Heath1904,,
Hebert2016,"Hébert, M.P., Beisner, B.E. and Maranger, R., 2016. A compilation of quantitative functional traits for marine and freshwater crustacean zooplankton. Ecology.",10.1890/15-1275.1
Heinle1975a,"Heinle, D R; Flemer, DA (2014): Growth rate of Eurytemora affinis determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834443",10.1594/PANGAEA.834443
Heinle1975b,"Heinle, D.R., D.A. Flemer. 1975. Carbon requirements of a population of the est",
Henriksen2007,"Henriksen, Casper Ingerslev; Saiz, Enric; Calbet, Albert; Hansen, Benni Winding (2014): Maximum ingestion and maximum clearance rate of Acartia grani and Oithona davisae determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834808",10.1594/PANGAEA.834808
Henry2008,"Henry R, Santos CM (2008) The importance of excretion by Chironomus larvae on the internal loads of nitrogen and phosphorus in a small eutrophic urban reservoir. Braz. J. Biol 68:349-357.",
Henschke2013,"Henschke, N., Bowden, D.A., Everett, J.D., Holmes, S.P., Kloser, R.J., Lee, R.W. and Suthers, I.M., 2013. Salp-falls in the Tasman Sea: a major food input to deep-sea benthos. Marine Ecology Progress Series, 491, pp.165-175.",10.3354/meps10450
Heron1972,"Heron, A.C. 1972. Population ecology of a colonizing species: the pelagic tunicate Thalia democratica I. Individual growth rate and generation time. Oecologia, 10, 269-293.",
Heron1973,"Heron A. (1973) A specialized predator-prey relationship between the copepod Sapphirina angusta and the pelagic tunicate Thalia democratica. Journal of the Marine Biological Association of the United Kingdom, 53(02), 429-435.",
Heron1976,"Heron, G.A. & D.M. Damkaer. (1976). Eurytemora richingsi, a new species of deep-water calanoid copepod from the Arctic Ocean. Proceedings of the Biological Society of Washington 89(8):127-136, figs. 1-17. (25-vi-1976)",
Heron1984,"Heron, A.C. and E.E. Benham. 1984. Individual growth rates of salps in three populations. Journal of Plankton Research, 6, 811-828.",
Heron1988,"Heron, A. C., P. S. McWilliam, and G. D. Pont. 1988. Length-weight relation in the salp Thalia democratica and potential of salps as a source of food. Mar. Ecol. Prog. Ser. 42: 125–132.",
Herring19871987,,
Hessen1990,"Hessen, D. O. 1990. Carbon, nitrogen and phosphorus status in Daphnia at varying food conditions . Journal of Plankton Research",
Hessen1991,"Hessen, D. O., and A. Lyche. 1991. Inter- and intraspecific variations in zooplankton element composition. Archiv f�r Hydrobiologie",
Higgins2006,"Higgins KA, Vanni MJ, Gonzalez MJ (2006) Detritivory and the stoichiometry of nutrient cycling by a dominant fish species in lakes of varying productivity. Oikos 114:419-430.",
Higgs1995,"Higgs, D.A., J.S. Macdonald, C.D. Levings, and B.S. Dosanjh. 1995. Nutrition and feeding habits in relation to life history stage, pp. 159-315. In C. Groot, L. Margolis, and W.C. Clarke (eds.) Physiological ecology of Pacific salmon. Univ. British Columbia Press, Vancouver.",
Hirabayashi2016,"Hirabayashi, T., Ohtsuka, S., Urata, M., Tomikawa, K., & Tanaka, H. (2016). Molecular evidence on evolutionary switching from particle-feeding to sophisticated carnivory in the calanoid copepod family Heterorhabdidae: drastic and rapid changes in functions of homologues. Journal of Natural History, 50(27-28), 1759-1772. ",10.1080/00222933.2016.1155779
Hirakawa1993,"Hirakawa, K., & Imamura, A. (1993). Seasonal abundance and life history of Metridia pacifica (Copepoda: Calanoida) in Toyama Bay, southern Japan Sea. Bulletin of Plankton Society of Japan (Japan).",
Hirche1989,"Hirche, H. J. 1989. Egg production of the Arctic copepod Calanus glacialis: laboratory experiments . Marine Biology",
Hirche1993,"Hirche, H. J., and G. Kattner. 1993. Egg production and lipid content of Calanus glacialis in spring: indication of a food-dependent and food-independent reproductive mode. Marine Biology",
Hirche2006,"Hirche, H. J., Kosobokova, K. N., Gaye-Haake, B., Harms, I., Meon, B., and E. M. Nothig. 2006. Structure and function of contemporary food webs on Arctic shelves: A pan-arctic comparison: The pelagic system of the Kara Sea - Communities and components of carbon flow. Progress in Oceanography",
Hirota1972a,"Hirota, J (2014): Growth rate of Pleurobrachia bachei determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834444",10.1594/PANGAEA.834444
Hirota1972b,"Hirota J (1972) Laboratory culture and metabolism of the planktonic ctenophore, Pleurobrachia bachei A. Agassiz. In Biological oceanography of the Northern North Pacific Ocean (A.Y. Takenouti, ed.) pp 465-484. Idemitsu Shoten, Tokyo",
Hirota1974,"Hirota, J. 1974. Quantitative natural history of Pleurobrachia bachei in La Jolla Bight. Fishery Bulletin, 72, 295-335.",
Hirsch1915,"Hirsch, G.C. 1915. Die Ernahrungsbiologie fleischfressender Gastropoden (Murex, Natica, Pterotrachae, Pleurobranchea, Tritonum). I. Teil. Maktroskopischer Bau, Nahrungsaufnahme, Verdauung, Sekretion. Zoologische Jahrbuch (Abteilungen Zoologie und Physiologie das Tiere), 35, 357-504.",
Hirst2002,"Hirst A. and Kiørboe T. (2002) Mortality of marine planktonic copepods: global rates and patterns. Marine Ecology-Progress Series, 230, 195-209.",
Hirst2003,"Hirst, A.G., Bunker, A.J., 2003. Growth of marine planktonic copepods: Global rates and patterns in relation to chlorophyll a, temperature, and body weight. Limnol. Oceanogr. 48, 1988–2010.",
Hirst2014,"Hirst, A. G. and Kiørboe, T.: Macroevolutionary patterns of sexual size dimorphism in copepods, Proc. R. Soc. B Biol. Sci., 281(1791), 20140739–20140739, ",10.1098/rspb.2014.0739
Hoeger1983,"Hoeger, U., 1983. Biochemical composition of ctenophores. Journal of Experimental Marine Biology and Ecology, 72(3), pp.251-261.",
Holst2007,"Holst S, Sötje I, Tiemann H, Jarms G. 2007. Life cycle of the rhizostome jellyfish Rhizostoma octopus (L.) (Scyphozoa, Rhizostomeae), with studies on cnidocysts and statoliths. Mar. Biol. 151(5):1695–1710",
Hooff2004,"Hooff, Rian C; Bollens, Stephen M (2014): Maximum ingestion and maximum clearance rate of Tortanus dextrilobatus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834770",10.1594/PANGAEA.834770
Hopcroft1998,"Hopcroft RR, Roff JC. 1998. Zooplankton growth rates : the influence of female size and resources on egg production of tropical marine copepods. Mar. Biol. 132:79–86",
Hopcroft2005,"Hopcroft, R., Clarke, C., Byrd, A. and Pinchuk, A.: The paradox of Metridia spp. egg production rates: a new technique and measurements from the coastal Gulf of Alaska, Mar. Ecol. Prog. Ser., 286, 193–201, ",10.3354/meps286193
Hopcroft2015,"Hopcroft, R. and Danielson, S.: Seward Line, [online] Available from: https://www.sfos.uaf.edu/sewardline/index.html (Accessed 25 January 2015), 2015.",
Hopkins1984,"Hopkins, C. C. E., Tande, K. S., Grønvik, S., & Sargent, J. R. (1984). Ecological investigations of the zooplankton community of balsfjorden, Northern Norway: an analysis of growth and overwintering tactics in relation to niche and environment in Metridia longa (Lubbock), Calanus finmarchicus (Gunnerus), Thysanoessa inermis (Krøyer) and T. raschi (M. Sars). Journal of Experimental Marine Biology and Ecology, 82(1), 77-99.",
Hopkins1984; Sargent1988,,
Hopkins1988,,
Hopkins1989a,"Hopkins, T.L. and Torres, J.J. 1989. Midwater food web in the vicinity of a marginal ice zone in the western Weddell Sea. Deep-Sea Research 36: 543-560.",
Hopkins1989b,"Hopkins, T.L., Gartner, J.V., and Flock, M.E. 1989. The caridean shrimp (Decapoda:Natantia) assemblage in the mesopelagic zone of the eastern Gulf of Mexico. Bulletin of Marine Science 45: 1-14.",
Hopkins1994,"Hopkins, T.L., Flock, M.E., Gartner, J.V., and Torres, J.J. 1994. Structure and trophic ecology of a low latitude midwter decapod and mysid assemblage. Marine Ecology Progress Series 109: 143-156.",
Houde1978,"Houde, Edward D (2014): Growth rate of Pisces determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834445",10.1594/PANGAEA.834445
Houde1980,"Houde, Edward D; Schekter, Richard C (2014): Maximum ingestion and maximum clearance rate of Anchoa mitchilli, Archosargus rhomboidalis and Achirus lineatus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834771",10.1594/PANGAEA.834771
Houde1981a,"Houde, Edward D; Schekter, Richard C (2014): Maximum ingestion and maximum clearance rate of Anchoa mitchilli, Archosargus rhomboidalis and Achirus lineatus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834771",10.1594/PANGAEA.834771
Houde1981b,"Houde, Edward D; Schekter, Richard C (2014): Growth rate of Pisces determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834446",10.1594/PANGAEA.834446
Houde1982,"Houde, Edward D; Schekter, Richard C (2014): Maximum ingestion and maximum clearance rate of Anchoa mitchilli, Archosargus rhomboidalis and Achirus lineatus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834771",10.1594/PANGAEA.834771
Houde1983,"Houde, Edward D; Schekter, Richard C (2014): Maximum ingestion and maximum clearance rate of Anchoa mitchilli, Archosargus rhomboidalis and Achirus lineatus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834771",10.1594/PANGAEA.834771
Houde1984,"Houde, Edward D; Schekter, Richard C (2014): Maximum ingestion and maximum clearance rate of Anchoa mitchilli, Archosargus rhomboidalis and Achirus lineatus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834771",10.1594/PANGAEA.834771
Houde1985,"Houde, Edward D; Schekter, Richard C (2014): Maximum ingestion and maximum clearance rate of Anchoa mitchilli, Archosargus rhomboidalis and Achirus lineatus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834771",10.1594/PANGAEA.834771
