traitBucket,traitNum,trait,traitID,traitName,traitUnit,verbatimTraitName,verbatimTraitUnit,valueType
biochemical composition,11,nitrogen content,28,nitrogenPDW,percent,N.(%dry),percent,numeric
biochemical composition,11,nitrogen content,29,nitrogenPDW_Max,percent,Max.Nprop,percent,numeric
biochemical composition,11,nitrogen content,30,nitrogenPDW_Min,percent,Min.Nprop,percent,numeric
biochemical composition,12,phosphorus content,31,phosphorusTotal,mg,Ptotal_Mean,mg,numeric
biochemical composition,12,phosphorus content,31,phosphorusTotal,mg,Pct.total,mg,numeric
biochemical composition,12,phosphorus content,31,phosphorusTotal,mg,phosphorusTotal,mg,numeric
biochemical composition,12,phosphorus content,32,phosphorusPDW_Max,percent,P_pdw_Max,percent,numeric
biochemical composition,12,phosphorus content,32,phosphorusPDW_Max,percent,Max.Pprop,percent,numeric
biochemical composition,12,phosphorus content,33,phosphorusPDW,percent,P_pdw_Mean,percent,numeric
biochemical composition,12,phosphorus content,33,phosphorusPDW,percent,Pct.prop,percent,numeric
biochemical composition,12,phosphorus content,33,phosphorusPDW,percent,Body.P,percent,numeric
biochemical composition,12,phosphorus content,34,phosphorusPDW_Min,percent,P_pdw_Min,percent,numeric
biochemical composition,12,phosphorus content,34,phosphorusPDW_Min,percent,Min.Pprop,percent,numeric
biochemical composition,13,hydrogen content,35,hydrogenTotal,mg,Htotal_Mean,mg,numeric
biochemical composition,13,hydrogen content,36,hydrogenPDW,percent,H_pdw_Mean,percent,numeric
biochemical composition,14,elemental ratio,37,ratioCN_Max,unitless,CNratio_Max,,numeric
biochemical composition,14,elemental ratio,38,ratioCN,unitless,CNratio_Mean,,numeric
biochemical composition,14,elemental ratio,38,ratioCN,unitless,Body.CN,,numeric
biochemical composition,14,elemental ratio,38,ratioCN,unitless,C:N.(by.weight),,numeric
biochemical composition,14,elemental ratio,39,ratioCN_Min,unitless,CNratio_Min,,numeric
biochemical composition,14,elemental ratio,40,ratioCP_Max,unitless,CPratio_Max,,numeric
biochemical composition,14,elemental ratio,41,ratioCP,unitless,CPratio_Mean,,numeric
biochemical composition,14,elemental ratio,41,ratioCP,unitless,Body.CP,,numeric
biochemical composition,14,elemental ratio,42,ratioCP_Min,unitless,CPratio_Min,,numeric
biochemical composition,14,elemental ratio,43,ratioNP,unitless,N.Pct,,numeric
biochemical composition,14,elemental ratio,43,ratioNP,unitless,NPratio_Mean,,numeric
biochemical composition,14,elemental ratio,43,ratioNP,unitless,Body.NP,,numeric
biochemical composition,14,elemental ratio,44,ratioNP_Max,unitless,NPratio_Max,,numeric
biochemical composition,14,elemental ratio,44,ratioNP_Max,unitless,Max.NP,,numeric
biochemical composition,14,elemental ratio,45,ratioNP_Min,unitless,NPratio_Min,,numeric
biochemical composition,14,elemental ratio,45,ratioNP_Min,unitless,Min.NP,,numeric
biochemical composition,15,ash content,46,ashTotal,mg,ash_Total_Indiv,mg,numeric
biochemical composition,15,ash content,46,ashTotal,mg,ash.(mg),mg,numeric
biochemical composition,15,ash content,47,ashPDW,percent,ash_pdw_Mean,percent,numeric
biochemical composition,15,ash content,47,ashPDW,percent,ash_pdw_Indiv,percent,numeric
biochemical composition,15,ash content,47,ashPDW,percent,Ash.(%.of.dry),percent,numeric
biochemical composition,15,ash content,48,ashPDW_Max,percent,ash_pdw_Max,percent,numeric
biochemical composition,15,ash content,49,ashPDW_Min,percent,ash_pdw_Min,percent,numeric
biochemical composition,15,ash content,50,ashPWW,percent,ash_pww_Mean,percent,numeric
biochemical composition,16,lipid content,51,lipidPDW,percent,lipid_pdw_Mean,percent,numeric
biochemical composition,16,lipid content,51,lipidPDW,percent,Lipid.ct,percent,numeric
biochemical composition,16,lipid content,52,lipidPDW_Max,percent,lipid_pdw_Max,percent,numeric
biochemical composition,16,lipid content,52,lipidPDW_Max,percent,Max.lip,percent,numeric
biochemical composition,16,lipid content,53,lipidPDW_Min,percent,lipid_pdw_Min,percent,numeric
biochemical composition,16,lipid content,53,lipidPDW_Min,percent,Min.lip,percent,numeric
biochemical composition,16,lipid content,54,lipidPWW,percent,lipid_pww_Mean,percent,numeric
biochemical composition,16,lipid content,55,lipidPAFDW,percent,lipid_pafdw_Mean,percent,numeric
biochemical composition,17,protein content,56,proteinPDW,percent,protein_pdw_Mean,percent,numeric
biochemical composition,17,protein content,56,proteinPDW,percent,Protein.ct,percent,numeric
